,broadcasts_num,creation_year,followers,following,highlights_num,in_partnership,language,mature,name,teams,views,type
517,405,2013,30104,2,1565,True,it,False,everyeyeit,0,25007925,person
518,72,2007,263309,274,221,True,en,False,sco,1,24543796,person
519,790,2012,69153,3,1281,True,ru,False,starladder4,2,23846341,channel
520,2,2011,133732,47,193,True,en,False,robertxlee,0,23747356,person
521,41,2014,252643,1,2432,True,zh,False,butterflyouo,0,23820643,person
522,1,2011,140479,3,82,True,en,False,merlinidota,1,23494490,person
523,91,2011,124183,10,76,True,en,False,fragnance,1,23735513,person
524,5,2007,71939,24,763,True,en,False,alienware,1,23362158,person
525,15,2012,235004,14,6,True,zh,True,westdoor,0,23282372,person
526,13,2014,3825,6,234,False,en,False,game_revolution,0,25741850,channel
527,16,2013,221222,49,6,True,ru,False,lightofheaven,2,22966803,person
528,11,2013,66866,1,1239,True,pt,False,copaamerica_pt1,1,22693252,channel
529,50,2012,210833,34,52,True,pl,False,kubon_,1,22860359,person
530,87,2011,192108,383,87,True,en,False,datmodz,3,22786112,person
531,542,2012,223981,62,19,True,en,False,runitup,3,22401940,channel
532,45,2014,119822,31,1208,True,ru,False,uccleague,1,22941334,channel
533,329,2011,236961,45,215,True,en,False,halo,1,22238177,channel
534,35,2011,80925,14,30,True,en,False,dotademon,0,21872480,person
535,73,2012,120645,373,63,True,zh,True,zondalol,0,21921457,person
536,861,2014,129689,80,393,True,en,False,kindafunnygames,0,21833694,person
537,55,2012,201221,0,66,True,en,False,pokemon,1,21769071,channel
538,78,2011,49818,65,228,True,en,False,whitera,0,21717886,person
539,16,2011,207596,8,55,True,en,False,eternalenvyy,2,21692422,person
540,91,2012,36322,0,495,True,pl,False,wonziu,1,21650778,person
541,717,2015,122987,16,352,True,en,False,moonducktv,2,21553224,channel
542,151,2017,6756,46,53,True,en,False,imdb,0,21689989,channel
543,37,2008,103952,587,0,True,en,True,siglemic,0,21216842,person
544,624,2014,142069,5,499,True,en,False,esl_hearthstone,4,21212616,channel
